               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 129,            0.032839,            0.016556,                   0,                0.97,             0.98473,              0.9864,             0.61459,            0.027218,            0.014562,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.032075,            0.016197,                   0,               0.975,             0.98977,             0.99133,             0.60491,            0.025415,            0.014413,                   0,            0.005743,            0.005743,            0.005743
                 131,             0.03235,            0.014576,                   0,             0.98477,             0.98472,             0.99217,             0.63576,            0.023522,            0.014277,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.030141,            0.015148,                   0,             0.97977,             0.98477,             0.99247,              0.6443,            0.025485,            0.014227,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.034622,            0.015325,                   0,             0.98473,             0.98477,             0.99278,             0.60265,            0.026227,            0.014268,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.032392,            0.017011,                   0,             0.98974,              0.9797,             0.99276,             0.65471,            0.023133,            0.014147,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.028403,            0.015584,                   0,             0.98962,              0.9797,             0.99265,             0.65224,            0.023018,             0.01407,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.029957,            0.014971,                   0,              0.9799,             0.98982,             0.99309,             0.64575,            0.024452,            0.014132,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.031163,            0.015373,                   0,              0.9799,             0.98978,             0.99319,             0.62591,            0.023768,            0.014241,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.031556,             0.01351,                   0,             0.97496,             0.98985,             0.98979,             0.65235,            0.023567,            0.014185,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.030847,            0.014931,                   0,             0.97029,             0.99492,             0.99267,             0.60725,            0.026284,            0.014416,                   0,            0.005446,            0.005446,            0.005446
